z_parent,n_parent,elem_parent,parent_l_seqno,decay,z_daughter,n_daughter,elem_daughter,shell,energy,old_energy,intensity,intensity_unc_abs,from_gamma_energy,conversion_coeff_shell
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.551,0.00238,0.00006696772199184204,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.184 - 13.034,0.0302,0.000793602162497065,2614.511,4.75E-6 7
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.349,0.000478,0.000013014892535972233,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.142,0.0209,0.0005883182198992854,2614.511,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.307,0.00096,0.00002847138336298686,2614.511,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.184 - 15.860,0.064,0.002648008666498668,2614.511,0.000293 5
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.600 - 12.622,0.00031,0.00003126995676397457,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.614,0.0173,0.0004947973002538759,2614.511,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.795,0.00106,0.00003190925905129608,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.888,0.0047,0.0001326780960490706,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.014 - 13.016,6.6e-05,0.0000034887113278784658,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.026,0.000616,0.00001727978037446232,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.349 - 15.199,0.0221,0.0005666118861945089,2614.511,3.48E-5 5
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.307 - 15.860,0.00269,0.00007376226933816476,2614.511,0.0002526 35
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.307,0.000124,0.000003868823553537752,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.765,0.00371,0.00010225330759875422,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.053,0.00371,0.00010225330759875422,2614.511,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.098,0.000253,0.000007431323198949162,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.179,0.000502,0.000013602652202206304,2614.511,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.191,4.4e-06,0.000002216425068000269,2614.511,
